T1 fixation
24.95077:106,108;
24.96654:95,109;
24.9851:95,108;
25.00251:79,90;
25.01887:79,90;
25.03511:72,89;
25.05273:72,89;
25.06897:66,89;
25.08566:66,89;
25.1013:66,89;
25.11861:66,89;
25.1357:66,89;
25.15194:66,89;
25.16794:66,89;
25.185:66,89;
25.20192:66,89;
25.21869:66,89;
25.23583:66,89;
25.2518:66,89;
25.26771:66,89;
25.28453:66,89;
25.3012:66,89;
25.31771:66,89;
25.33448:66,89;
25.35178:66,89;
25.36819:103,39;
25.38432:144,42;
25.40002:201,45;
25.41661:205,43;
25.43338:157,47;
25.45015:151,48;
25.46882:147,51;
25.48583:132,62;
25.50249:124,63;
25.51886:124,63;
25.53591:124,63;
25.55163:124,63;
25.56871:124,63;
25.58601:124,63;
25.60184:124,63;
25.61852:82,48;
25.63516:82,48;
25.65097:82,48;
25.66807:55,89;
25.68392:54,98;
25.70132:54,98;
25.71762:46,97;
25.73507:19,91;
25.75228:-16,96;
25.76857:-28,97;
25.78484:-32,97;
25.80135:-32,97;
25.81786:-25,94;
25.83434:-22,94;
25.84974:-20,94;
25.86656:41,73;
25.88325:46,73;
25.90192:48,64;
25.91887:49,67;
25.93574:56,68;
25.95155:56,68;
25.96916:67,74;
25.98606:67,74;
26.00196:67,74;
26.01905:67,74;
26.03582:67,74;
26.05205:67,74;
26.06804:67,74;
26.08484:67,74;
26.10187:127,40;
26.1189:127,40;
26.1356:127,40;
26.15167:127,40;
26.16792:127,40;
26.18329:127,40;
26.20039:127,40;
26.21666:127,40;
26.23329:127,40;
26.25192:127,40;
26.26851:195,21;
26.28478:197,23;
26.30018:198,28;
26.31753:196,35;
26.33424:195,47;
26.35008:176,50;
26.36848:162,52;
26.38495:183,50;
26.40191:183,50;
26.41976:164,50;
26.43589:164,50;
26.45324:164,50;
26.46895:164,50;
26.48655:164,50;
26.50202:164,50;
26.51797:164,50;
26.53449:164,50;
26.54963:164,50;
26.56615:164,50;
26.58488:58,132;
26.60236:58,132;
26.61893:67,112;
26.63544:56,106;
26.65199:43,94;
26.66895:43,94;
26.68503:53,102;
26.70016:53,102;
26.71605:42,88;
26.73341:40,91;
26.74999:34,89;
26.76776:10,85;
26.78511:10,85;
26.80213:9,86;
26.81899:9,86;
26.83508:10,85;
26.85109:10,85;
26.86888:10,85;
26.88585:10,85;
26.90197:10,85;
26.91858:10,85;
26.93581:10,85;
26.95158:10,85;
26.96864:10,85;
26.98528:10,85;
27.00189:71,8;
27.01869:71,8;
27.03589:71,8;
27.0518:71,8;
27.06825:71,8;
27.08337:71,8;
27.10107:71,8;
27.11754:71,8;
27.13397:71,8;
27.15044:207,72;
27.16654:133,43;
27.1845:153,52;
27.20093:153,52;
27.21738:167,59;
27.23319:169,59;
27.25035:190,53;
27.26869:210,51;
27.28568:209,50;
27.30207:209,50;
27.31985:209,50;
27.33608:209,50;
27.35263:209,50;
27.36908:209,50;
27.38586:209,50;
27.40194:209,50;
27.41815:72,41;
27.43334:72,41;
27.44957:65,160;
27.4661:53,141;
27.48346:57,115;
27.49967:45,119;
27.51875:48,96;
27.53588:41,93;
27.55276:30,97;
27.57001:33,91;
27.58516:24,95;
27.60199:24,95;
27.61762:36,93;
27.63331:44,90;
27.64983:48,85;
27.66714:49,84;
27.68522:48,83;
27.70179:44,85;
27.71902:100,68;
27.7358:100,68;
27.75262:100,68;
27.76906:106,72;
27.78661:106,72;
27.80208:106,72;
27.81874:90,86;
27.83594:96,89;
27.8525:96,89;
27.86704:96,89;
27.88482:96,89;
27.90118:246,65;
27.9185:246,65;
27.9356:246,65;
27.95121:246,65;
27.96803:246,65;
27.9848:246,65;
28.00169:246,65;
28.01666:246,65;
28.03576:246,65;
28.05204:400,19;
28.06923:400,19;
28.08588:361,29;
28.10262:352,50;
28.11897:336,59;
28.13507:327,54;
28.14996:327,54;
28.16794:327,54;
28.18568:312,51;
28.20378:312,51;
28.21977:248,49;
28.23597:248,49;
28.25283:248,49;
28.26983:256,42;
28.28573:256,42;
28.30274:256,42;
28.31824:256,42;
28.33495:256,42;
28.34994:256,42;
28.36713:256,42;
28.38321:256,42;
28.40183:256,42;
28.41798:204,102;
T23 fixation
30.96833:1376,42;
30.98445:1376,42;
31.00092:1376,42;
31.01678:1432,70;
31.03478:1432,70;
31.05201:1376,61;
31.07048:1376,61;
31.08532:1369,71;
31.09952:1362,63;
31.11775:1374,59;
31.13501:1394,66;
31.15275:1393,66;
31.16902:1403,71;
31.18504:1421,69;
31.20241:1421,69;
31.21808:1442,78;
31.2339:1443,78;
31.24984:1494,88;
31.26716:1499,88;
31.28335:1476,78;
31.30016:1483,80;
31.3182:1474,77;
31.33492:1454,75;
31.35125:1454,75;
31.36807:1438,72;
31.38549:1438,72;
31.40152:1438,72;
31.41803:1438,72;
31.43534:1441,3;
31.45135:1441,3;
31.46787:1441,3;
31.48492:1441,3;
31.50163:1441,3;
31.519:1441,3;
31.53648:1441,3;
31.55182:1441,3;
31.56839:1441,3;
31.58503:1441,3;
31.60107:1441,3;
31.61832:1441,3;
31.63544:1441,3;
31.65171:1441,3;
31.66804:1441,3;
31.68374:1441,3;
31.70004:1423,34;
31.71663:1322,44;
31.73458:1315,36;
31.75059:1311,34;
31.76789:1322,39;
31.78427:1322,39;
31.80301:1322,39;
31.81872:1322,39;
31.83612:1322,39;
31.85275:1322,39;
31.86891:1322,39;
31.88626:1322,39;
31.90155:1322,39;
31.91748:1322,39;
31.93432:1322,39;
31.9497:1322,39;
31.96622:1322,39;
31.98377:1322,39;
31.99987:1322,39;
32.01869:1462,94;
32.03493:1384,83;
32.05196:1398,86;
32.06855:1398,86;
32.0843:1408,85;
32.10176:1408,85;
32.1187:1416,85;
32.13588:1424,83;
32.15131:1430,75;
32.16793:1427,79;
32.18452:1423,74;
32.20101:1417,62;
32.2168:1421,64;
32.23351:1421,64;
32.25268:1431,64;
32.27003:1436,65;
32.28642:1436,65;
32.30185:1436,65;
32.31855:1436,65;
32.33485:1457,35;
32.35182:1457,35;
32.36754:1457,35;
32.3847:1457,35;
32.40202:1457,35;
32.41859:1457,35;
32.43528:1457,35;
32.45296:1457,35;
32.46886:1457,35;
32.48481:1457,35;
32.5021:1457,35;
32.5173:1457,35;
32.53503:1457,35;
32.55133:1398,24;
32.56632:1291,3;
32.58324:1281,1;
32.6012:1281,1;
32.61729:1273,15;
32.63311:1272,17;
32.65028:1297,25;
32.667:1294,14;
32.68315:1294,14;
32.69938:1325,27;
32.71854:1321,29;
32.73575:1325,29;
32.75253:1325,29;
32.7687:1325,29;
32.78588:1325,29;
32.8018:1325,29;
32.81894:1325,29;
32.83506:1325,29;
32.84986:1325,29;
32.86843:1445,-68;
32.88316:1416,40;
32.89951:1403,72;
32.91658:1403,98;
32.93311:1407,97;
32.95024:1417,99;
32.96991:1423,97;
32.98553:1426,97;
33.00145:1426,97;
