T1 fixation
18.38291:1796,510;
18.39968:1796,510;
18.41628:1799,510;
18.43327:1793,503;
18.4495:1805,507;
18.4665:1801,502;
18.48288:1798,501;
18.4997:1799,504;
18.51621:1799,503;
18.53293:1801,509;
18.54971:1801,509;
18.56623:1797,500;
18.5828:1797,502;
18.59963:1803,511;
18.61632:1804,520;
18.63292:1804,524;
18.64952:1806,525;
18.66644:1808,524;
18.68289:1812,527;
18.6997:1812,527;
18.71629:1815,520;
18.73281:1812,519;
18.74965:1813,521;
18.76643:1799,517;
18.7829:1798,516;
18.79979:1797,513;
18.8162:1797,512;
18.83301:1798,512;
18.85015:1798,512;
18.86647:1800,514;
18.88249:1800,521;
18.89969:1802,523;
18.91638:1803,525;
18.93292:1807,527;
18.94966:1809,524;
18.96613:1804,520;
18.98281:1804,519;
18.99972:1804,519;
19.01646:1806,518;
19.03271:1815,522;
19.04961:1812,521;
19.06628:1814,522;
19.08309:1795,513;
19.09952:1800,516;
19.11628:1798,515;
19.13309:1787,509;
19.14956:1787,509;
19.16611:1788,511;
19.18304:1786,512;
19.19964:1784,513;
19.21607:1786,516;
19.23292:1790,512;
19.24952:1790,510;
19.26626:1790,509;
19.28303:1797,512;
T21 fixation
21.45103:130,56;
21.4661:144,57;
21.4829:143,57;
21.49958:143,53;
21.51624:145,52;
21.53302:145,53;
21.54963:145,53;
21.56628:140,49;
21.58259:136,50;
21.60143:127,51;
21.61807:135,50;
21.63417:141,53;
21.65049:144,55;
21.66615:139,57;
21.68291:142,59;
21.69981:142,59;
21.71584:136,60;
21.73268:123,60;
21.74967:120,58;
21.76636:123,59;
21.78304:121,61;
21.79948:121,61;
21.81638:121,58;
21.83283:122,57;
21.84966:122,57;
21.86634:123,56;
21.88303:125,54;
21.89957:123,55;
21.91627:129,52;
21.93289:129,57;
21.94963:132,57;
21.96625:132,58;
21.98283:129,57;
21.99965:129,57;
22.0163:125,63;
22.03268:130,60;
22.0495:133,62;
22.0667:126,67;
22.08342:122,64;
22.0996:129,63;
22.11611:129,62;
22.13292:131,61;
22.14966:131,61;
22.16587:141,49;
22.18251:141,50;
22.19961:135,52;
22.21627:133,53;
22.23311:132,54;
22.2508:132,55;
22.26634:134,55;
22.28307:133,57;
22.29959:133,57;
22.31639:126,56;
22.33297:116,58;
22.34974:117,57;
22.36626:118,57;
22.38306:133,59;
22.3997:131,59;
22.41636:132,66;
22.433:133,63;
22.44963:133,63;
22.46642:129,65;
22.48241:128,61;
22.49963:124,64;
22.51643:120,71;
22.53304:122,64;
22.54989:118,60;
22.5662:116,61;
22.58276:113,64;
22.59963:113,64;
22.61613:114,65;
22.63313:115,66;
22.64953:118,66;
22.66633:125,72;
22.68284:130,75;
22.69955:128,76;
22.71627:124,77;
22.73287:125,81;
22.74951:125,81;
22.76656:128,78;
22.78304:131,77;
22.79966:134,76;
22.81636:134,76;
22.83302:134,75;
22.84966:136,70;
22.86758:143,66;
22.88283:142,65;
22.8997:142,65;
22.91651:121,67;
22.93258:121,70;
22.94946:121,71;
22.9663:118,72;
22.98301:121,74;
22.99973:126,80;
23.01616:128,82;
23.03297:131,80;
23.05013:131,80;
23.06612:133,79;
23.08283:133,79;
23.09962:120,77;
23.11731:120,76;
23.13312:120,76;
23.1495:123,76;
23.16636:124,75;
23.18291:123,75;
23.19965:123,75;
23.21606:121,74;
23.23284:118,70;
23.24949:118,71;
23.26789:119,71;
23.28317:124,74;
23.2996:125,74;
23.31632:126,74;
23.3329:134,69;
23.34956:134,69;
23.36634:133,70;
23.38235:135,71;
23.39958:136,71;
23.41628:137,69;
23.433:137,69;
23.44965:140,62;
23.46628:130,64;
23.48291:127,65;
23.49977:127,65;
23.51617:120,72;
23.53266:123,75;
23.54951:124,82;
23.56624:125,85;
23.58372:122,81;
23.59959:121,81;
23.61658:119,83;
23.63278:116,84;
23.64943:116,84;
23.66632:125,77;
23.68344:122,70;
23.69945:121,70;
23.71618:122,68;
23.73308:116,71;
23.74976:121,74;
23.76627:128,75;
23.78291:126,75;
23.7996:126,75;
23.81628:127,79;
23.8325:120,77;
23.84966:114,76;
23.86622:113,79;
23.88334:114,81;
23.89962:112,82;
23.91618:115,81;
23.93322:119,80;
23.94962:119,80;
23.96612:132,78;
23.98272:134,78;
23.99957:126,76;
24.01624:111,70;
24.03289:116,74;
24.04964:117,73;
24.06641:119,72;
24.08421:121,72;
24.0997:121,72;
24.11603:133,67;
24.13348:127,69;
24.1498:126,72;
24.16621:129,73;
24.18289:133,73;
24.19972:136,74;
24.21638:136,75;
24.23285:136,76;
24.24964:136,76;
24.26721:135,80;
24.28285:127,85;
24.29949:126,81;
24.31619:127,81;
24.33305:127,80;
24.34957:129,76;
24.36622:129,75;
24.38291:131,74;
24.39978:131,74;
24.4159:131,71;
24.43266:128,73;
24.44968:128,72;
24.46642:129,73;
24.48338:134,72;
24.49944:134,70;
24.51797:132,70;
24.53296:129,68;
24.54964:129,68;
24.56615:117,66;
24.58321:112,67;
24.59939:109,68;
24.61632:109,68;
24.63386:106,71;
24.64969:114,74;
24.66643:116,73;
24.68289:115,72;
24.69986:115,72;
24.71648:125,78;
24.73281:122,76;
24.74944:127,76;
24.76669:128,75;
24.78309:128,74;
24.79972:124,70;
24.81621:117,69;
24.83351:112,70;
24.84962:112,70;
24.86594:120,76;
24.88259:120,78;
24.90106:120,78;
24.9163:137,78;
24.93341:141,77;
24.94949:139,76;
24.96642:142,79;
24.98283:150,81;
24.99981:150,81;
